cluster_id	Amplitude
0	39.8
1	45.3
2	26.5
3	26.1
4	10.5
5	53.4
6	18.4
7	10.5
8	8.9
9	24.9
10	10.5
11	49.3
12	11.8
13	30.2
14	15.5
15	14.8
16	25.8
17	9.6
18	26.5
19	34.0
20	10.9
21	9.7
22	16.9
23	34.7
24	8.9
25	31.5
26	19.9
27	11.2
28	33.5
29	16.8
30	9.5
31	10.0
32	12.2
33	16.6
34	10.8
35	45.2
36	10.9
37	25.3
38	10.4
39	10.0
40	13.0
41	9.1
42	27.7
43	10.9
44	28.7
45	23.6
46	13.4
47	10.3
48	37.8
49	9.8
50	28.0
51	14.5
52	15.2
53	12.9
54	12.1
55	24.5
56	22.4
57	15.2
58	11.1
59	10.8
60	54.3
61	13.7
62	21.9
63	22.6
64	9.5
65	10.5
66	25.7
67	12.4
68	13.2
69	12.1
70	22.6
71	12.0
72	9.4
73	22.8
74	21.6
75	21.1
