cluster_id	KSLabel
0	good
1	good
2	good
3	mua
4	mua
5	good
6	mua
7	mua
8	mua
9	good
10	mua
11	mua
12	mua
13	good
14	good
15	good
16	good
17	mua
18	good
19	good
20	mua
21	mua
22	mua
23	good
24	mua
25	good
26	good
27	mua
28	good
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	good
36	mua
37	good
38	mua
39	mua
40	mua
41	mua
42	good
43	mua
44	good
45	good
46	mua
47	mua
48	good
49	mua
50	good
51	mua
52	mua
53	mua
54	mua
55	good
56	good
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	good
67	mua
68	mua
69	mua
70	good
71	mua
72	mua
73	good
74	good
75	good
