cluster_id	KSLabel
0	good
1	mua
2	good
3	mua
4	good
5	mua
6	mua
7	mua
8	good
9	mua
10	good
11	mua
12	good
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	good
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	good
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	good
39	mua
40	mua
41	mua
42	good
43	mua
44	mua
45	mua
46	mua
47	good
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	good
68	mua
69	mua
70	mua
71	mua
72	good
73	mua
74	mua
75	mua
76	mua
77	good
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	good
87	mua
88	good
89	good
90	mua
91	good
92	mua
93	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	mua
102	mua
