cluster_id	KSLabel
0	good
1	good
2	good
3	mua
4	mua
5	good
6	mua
7	mua
8	mua
9	good
10	mua
11	mua
12	mua
13	mua
14	good
15	mua
16	good
17	mua
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	good
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	good
32	mua
33	mua
34	good
35	mua
36	mua
37	mua
38	good
39	good
40	mua
41	good
42	good
43	good
44	mua
45	good
46	good
47	good
48	mua
49	mua
50	mua
51	good
52	good
53	mua
54	mua
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	good
62	mua
63	mua
64	mua
65	mua
66	good
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	good
85	mua
86	mua
87	good
88	mua
89	good
90	mua
91	good
92	mua
93	mua
94	mua
95	good
96	mua
97	mua
98	good
99	mua
100	good
101	mua
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
111	good
112	good
113	mua
114	good
115	mua
116	good
117	good
118	mua
119	good
120	mua
121	good
122	good
123	good
124	mua
125	mua
126	good
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	mua
