cluster_id	KSLabel
0	good
1	good
2	good
3	mua
4	good
5	good
6	good
7	good
8	good
9	good
10	good
11	good
12	good
13	good
14	mua
15	good
16	good
17	mua
18	mua
19	mua
20	good
21	mua
22	mua
23	mua
24	mua
25	good
26	mua
27	mua
28	mua
29	good
30	mua
31	good
32	mua
33	mua
34	good
35	mua
36	good
37	mua
38	good
39	mua
40	mua
41	mua
42	mua
43	good
44	good
45	mua
46	mua
47	mua
48	mua
49	good
50	mua
51	good
52	good
53	good
54	mua
55	mua
56	good
57	mua
58	mua
59	mua
60	good
61	mua
62	good
63	good
64	mua
65	mua
66	good
67	mua
68	mua
69	mua
70	good
71	mua
72	good
73	mua
74	mua
75	good
76	good
77	mua
78	mua
79	mua
80	good
81	good
82	mua
83	mua
84	good
85	mua
86	mua
87	mua
88	mua
89	mua
90	good
91	good
92	mua
93	mua
94	mua
95	mua
96	good
97	mua
98	good
99	mua
100	good
101	mua
102	mua
103	good
104	mua
105	mua
106	mua
107	good
108	mua
109	mua
110	mua
111	mua
112	mua
113	good
114	good
115	mua
116	mua
117	good
118	mua
119	mua
120	good
121	mua
122	mua
123	mua
124	mua
125	good
126	mua
127	mua
128	good
129	mua
130	mua
131	mua
132	good
133	mua
134	mua
135	good
136	mua
137	mua
138	mua
139	mua
140	good
141	mua
142	mua
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	good
154	good
155	mua
156	mua
157	good
158	mua
159	mua
160	mua
161	mua
162	good
163	mua
164	mua
165	mua
166	mua
167	mua
168	mua
169	mua
170	mua
171	mua
172	mua
173	mua
174	mua
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	mua
187	mua
188	mua
189	good
190	good
191	mua
192	good
193	mua
194	mua
195	mua
196	mua
197	mua
198	good
199	good
