cluster_id	Amplitude
0	9.3
1	9.2
2	9.5
3	10.2
4	8.4
5	10.8
6	9.0
7	9.5
8	9.5
9	16.4
10	9.7
11	9.3
12	11.6
13	9.2
14	9.1
15	15.4
16	11.1
17	9.8
18	38.8
19	9.3
20	16.6
21	9.5
22	11.2
23	9.6
24	9.2
25	8.7
26	9.0
27	10.6
28	13.4
29	9.2
30	10.1
31	9.6
32	10.8
33	9.4
34	26.8
35	12.1
36	8.8
37	8.9
38	15.0
39	19.8
40	8.8
41	9.0
42	18.6
43	9.3
44	28.0
45	9.2
46	16.0
47	9.4
48	9.2
49	16.4
50	14.4
51	10.8
52	45.8
53	10.9
54	9.7
55	9.7
56	9.2
57	9.0
58	56.6
59	18.3
60	10.0
61	17.9
62	14.0
63	9.0
64	12.1
65	9.1
66	29.0
67	9.9
68	23.5
69	10.3
70	9.5
71	24.3
72	10.5
73	10.1
74	9.7
75	9.7
76	25.2
77	19.3
78	22.1
79	16.5
80	10.2
81	86.5
82	9.5
83	9.5
84	28.8
85	12.2
86	9.7
87	11.0
88	11.2
89	9.6
90	11.4
91	9.5
92	35.9
93	21.7
94	14.8
95	16.6
96	9.6
97	13.2
98	11.9
99	11.6
100	9.5
101	29.0
102	11.3
103	8.9
104	29.9
105	9.4
106	16.4
107	9.6
108	29.1
109	12.0
110	28.6
111	10.8
112	30.4
113	9.6
114	13.8
115	12.3
116	10.0
117	9.5
118	22.5
119	47.2
120	34.3
121	40.5
122	11.5
123	28.4
124	9.5
125	29.8
126	10.8
127	9.2
128	10.0
129	11.9
130	11.7
131	60.4
132	21.8
133	25.3
134	9.8
135	9.0
136	11.2
137	10.2
138	25.8
139	9.8
140	23.0
141	10.0
142	15.8
143	11.6
144	17.8
145	10.0
146	23.4
147	13.0
148	10.0
149	14.4
150	18.1
151	12.9
152	10.0
153	16.2
154	21.0
155	10.8
156	15.1
157	9.7
158	11.7
159	16.2
160	26.6
161	10.0
162	10.7
163	15.6
164	9.7
165	9.8
166	28.4
167	9.9
168	10.4
169	9.6
170	10.2
171	12.0
172	19.9
173	9.5
174	14.3
175	10.7
176	47.9
177	11.1
178	11.1
179	9.4
180	9.7
181	33.1
182	9.7
183	12.5
184	28.1
185	9.4
186	9.5
187	10.4
188	9.3
189	9.2
190	29.3
191	9.7
192	9.4
193	11.9
194	10.1
195	8.6
196	13.4
197	8.9
198	9.1
199	8.4
200	9.3
201	8.8
202	9.3
203	8.6
204	8.3
205	8.7
206	8.8
207	8.9
208	8.9
209	8.9
210	8.8
211	8.8
212	8.8
213	8.7
214	8.8
215	8.7
216	8.8
217	8.0
218	8.8
219	8.8
220	7.9
221	8.8
222	8.8
223	8.6
224	8.7
225	8.7
226	7.8
227	8.8
228	8.9
229	8.8
230	8.1
231	8.9
232	8.5
233	8.8
234	8.7
235	8.8
236	8.8
237	8.7
238	7.9
239	8.6
240	8.7
241	8.7
242	8.6
243	8.3
244	7.3
245	8.8
246	8.8
247	8.7
248	8.7
249	8.7
250	8.7
251	8.0
252	8.8
253	8.4
254	8.5
255	8.6
256	8.8
