cluster_id	KSLabel
0	good
1	good
2	mua
3	mua
4	mua
5	good
6	good
7	good
8	good
9	mua
10	mua
11	mua
12	good
13	mua
14	good
15	good
16	good
17	mua
18	good
19	mua
20	good
21	mua
22	good
23	mua
24	mua
25	mua
26	mua
27	good
28	mua
29	mua
30	mua
31	mua
32	good
33	mua
34	good
35	good
36	mua
37	good
38	good
39	good
40	mua
41	mua
42	mua
43	good
44	good
45	mua
46	good
47	mua
48	mua
49	mua
50	good
51	good
52	good
53	mua
54	good
55	mua
56	mua
57	mua
58	good
59	good
60	mua
61	good
62	mua
63	good
64	mua
65	good
66	good
67	mua
68	good
69	mua
70	mua
71	good
72	mua
73	mua
74	good
75	mua
76	mua
77	good
78	good
79	mua
80	mua
81	good
82	mua
83	mua
84	good
85	good
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	good
93	good
94	good
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	good
102	mua
103	mua
104	good
105	mua
106	good
107	mua
108	good
109	mua
110	good
111	mua
112	good
113	mua
114	mua
115	mua
116	mua
117	mua
118	mua
119	good
120	good
121	good
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	good
134	mua
135	good
136	mua
137	mua
138	good
139	mua
140	good
141	mua
142	good
143	mua
144	mua
145	mua
146	good
147	mua
148	mua
149	good
150	good
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	mua
165	mua
166	mua
167	mua
168	mua
169	mua
170	mua
171	mua
172	mua
173	mua
174	mua
175	mua
176	good
177	mua
178	mua
179	mua
180	mua
181	mua
182	mua
183	good
184	good
185	good
186	mua
187	mua
188	mua
189	mua
190	mua
191	mua
192	mua
193	mua
194	mua
195	mua
196	mua
197	good
198	mua
199	good
200	good
201	good
202	good
203	good
204	good
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	good
213	mua
214	mua
215	mua
216	mua
217	good
218	good
219	mua
220	good
221	mua
222	good
223	mua
224	good
225	mua
226	good
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	good
238	mua
239	mua
240	mua
241	mua
242	good
243	good
244	good
245	good
246	mua
247	mua
248	good
249	mua
250	good
251	mua
252	mua
253	good
254	good
255	mua
256	good
